movieId,budget,revenue,runtime,vote_average,vote_count,release_date,popularity,adult,homepage,original_language,production_companies
39,12000000.0,56631572.0,97.0,7.262,4647.0,1995-07-19,4.8932,False,unknown,en,Paramount Pictures|Robert Lawrence Productions|Scott Rudin Productions
40,,676525.0,106.0,6.7,26.0,1995-12-15,1.9851,False,https://www.miramax.com/movie/cry-the-beloved-country/,en,Alpine Pty Limited|Distant Horizon|Miramax
41,,2748518.0,104.0,6.721,188.0,1995-12-29,4.8555,False,unknown,en,Mayfair Entertainment International|British Screen|United Artists|First Look Pictures|Bayly/Paré Productions|Metro-Goldwyn-Mayer
42,10000000.0,24100000.0,119.0,6.653,310.0,1995-09-29,1.4223,False,unknown,en,Caravan Pictures|Underworld Pictures|Hollywood Pictures
43,19000000.0,4005941.0,117.0,6.0,126.0,1995-12-29,2.548,False,unknown,en,Miramax
44,18000000.0,122195920.0,101.0,5.864,2411.0,1995-08-18,3.8919,False,http://www.mortalkombat.com,en,New Line Cinema|Threshold Entertainment
45,20000000.0,21300000.0,106.0,6.579,844.0,1995-09-22,4.9163,False,unknown,en,Columbia Pictures|The Rank Organisation|Laura Ziskin Productions
46,10000000.0,41200020.0,116.0,6.4,189.0,1995-10-06,2.4207,False,unknown,en,Universal Pictures|Amblin Entertainment
47,33000000.0,327311859.0,127.0,8.4,22295.0,1995-09-22,13.1614,False,https://www.warnerbros.com/movies/seven,en,New Line Cinema|Juno Pix|Arnold Kopelson Productions
48,55000000.0,346079773.0,81.0,6.912,5919.0,1995-06-16,9.7525,False,https://movies.disney.com/pocahontas,en,Walt Disney Feature Animation
49,,,96.0,6.3,86.0,1995-02-01,2.1062,False,unknown,en,Alliance Films
50,6000000.0,23300000.0,106.0,8.173,10966.0,1995-07-19,8.5984,False,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,en,Bad Hat Harry Productions|Blue Parrot Productions
51,,,97.0,4.4,17.0,1994-11-14,3.2881,False,unknown,en,PM Entertainment Group
52,15000000.0,26000000.0,95.0,6.714,721.0,1995-09-13,6.452,False,unknown,en,Miramax|Jean Doumanian Productions|Sweetland Films
53,,,112.0,7.1,62.0,1994-09-09,7.9497,False,unknown,it,Alia Film|Cecchi Gori Group Tiger Cinematografica|Arena Films|RAI|Vega Film|Canal+
54,,,100.0,5.554,193.0,1995-09-29,3.1975,False,unknown,en,Caravan Pictures|Walt Disney Pictures
55,,1110974.0,115.0,5.717,46.0,1995-05-19,3.0467,False,unknown,en,CiBy 2000|Georgia Film Corporation
56,,,89.0,4.4,7.0,1995-12-15,2.2509,False,unknown,en,Melenny Productions|Téléfilm Canada|Malofilm Communications Inc.
57,20000000.0,22119269.0,103.0,6.2,187.0,1995-11-02,5.1907,False,unknown,en,Egg Pictures|PolyGram Filmed Entertainment
58,3000000.0,33000000.0,109.0,7.928,1182.0,1994-04-07,1.2699,False,unknown,it,Esterno Mediterraneo Film|Cecchi Gori Group Tiger Cinematografica|K2 Two|Blue Dahlia Productions|Penta Film
59,,,100.0,5.955,22.0,1995-09-29,2.1054,False,unknown,fr,Cinéa|Cinémaginaire|Enigma Productions|Téléfilm Canada|Film4 Productions
60,45000000.0,35700000.0,96.0,6.455,656.0,1995-07-14,3.4989,False,unknown,en,Paramount Pictures|The Kennedy/Marshall Company|Columbia Pictures
61,20000000.0,26877589.0,101.0,6.183,442.0,1996-01-12,3.6036,False,unknown,en,Paramount Pictures
62,31000000.0,106300000.0,143.0,6.9,435.0,1995-12-29,3.5141,False,unknown,en,Hollywood Pictures|Interscope Communications|PolyGram Filmed Entertainment|The Charlie Mopic Company
63,3800000.0,20100000.0,89.0,7.022,1416.0,1996-01-12,5.9402,False,unknown,en,Ivory Way Productions|Island Pictures
64,,10658278.0,96.0,4.938,97.0,1996-01-12,3.5483,False,unknown,en,Morgan Creek Entertainment
65,8500000.0,13400000.0,95.0,4.513,388.0,1996-01-12,3.8453,False,unknown,en,Weasel Productions|Metro-Goldwyn-Mayer|3 Arts Entertainment|Motion Picture Corporation of America
66,15000000.0,2409225.0,92.0,3.29,164.0,1996-01-12,1.2822,False,unknown,en,New Line Cinema
67,,,85.0,5.7,62.0,1995-10-22,2.867,False,unknown,en,Miramax
68,,,95.0,6.051,315.0,1995-01-18,8.0475,False,unknown,fr,Les Films Flam|Renn Productions|Canal+|TF1 Films Production
69,3500000.0,28215918.0,91.0,7.132,1933.0,1995-04-26,5.4566,False,http://www.newline.com/properties/friday.html,en,New Line Cinema|Ice Cube/Pat Charbonnet Productions|Priority Films
70,19000000.0,25800000.0,108.0,7.03,6246.0,1996-01-19,5.3156,False,http://www.miramax.com/movie/from-dusk-till-dawn/,en,Los Hooligans Productions|A Band Apart|Dimension Films
71,50000000.0,11500000.0,91.0,5.132,322.0,1995-11-03,4.3181,False,unknown,en,Silver Pictures|Warner Bros. Pictures
72,,718490.0,96.0,6.2,228.0,1995-10-06,2.4675,False,unknown,en,Castleberg Productions|Sandollar Productions|Trimark Pictures
73,,,175.0,6.6,82.0,1995-03-22,4.9842,False,unknown,fr,TF1|Les Films 13|Canal+
74,,19030691.0,87.0,5.8,120.0,1996-01-26,2.6646,False,unknown,en,New Line Cinema|Juno Pix
75,15000000.0,2042530.0,90.0,4.553,75.0,1996-01-26,6.7596,False,unknown,en,Morgan Creek Entertainment
76,20000000.0,5781885.0,108.0,6.21,571.0,1995-09-08,3.5647,False,unknown,en,Fuji Eight Company Ltd.|Allegro Films|Fries Film Group|Super Ecran|Triumph Films|The Movie Network|Fries Film Company|Triumph|Allegro Film
77,,,70.0,7.5,10.0,1995-09-08,2.0704,False,unknown,en,ZDF|Bluehorse Films|Ciak Filmproduktion
78,,,111.0,6.004,278.0,1995-01-26,2.6638,False,unknown,en,Miramax
79,44000000.0,22754725.0,118.0,5.657,421.0,1996-02-02,5.9402,False,unknown,en,Columbia Pictures
80,,,85.0,7.4,99.0,1995-01-02,1.1349,False,unknown,fa,I.R.I.B. Channel 2|Ferdos Films
81,8000000.0,529766.0,116.0,6.447,412.0,1995-12-01,5.4762,False,unknown,en,Miramax
82,900000.0,,102.0,6.907,135.0,1995-09-21,5.5453,False,unknown,nl,Bergen Film|Bard Entertainments|NPS Televisie|Prime Time
83,,,115.0,3.6,5.0,1996-01-26,0.9092,False,unknown,en,BET Pictures|United Image Entertainme
84,,,108.0,5.5,4.0,1995-11-22,0.5502,False,unknown,en,Jagtoria Films|The Rainbow Film Company|Rainbow Releasing
85,,,118.0,6.1,55.0,1995-09-10,2.0332,False,unknown,en,Playhouse International Pictures|The Samuel Goldwyn Company|Film4 Productions
86,38000000.0,10300000.0,129.0,6.275,386.0,1996-02-02,3.5031,False,unknown,en,Largo Entertainment|Scott Free Productions|Hollywood Pictures
87,16000000.0,,88.0,5.4,238.0,1996-01-12,3.4168,False,unknown,en,Joe Wizan/Todd Black|20th Century Fox|Fox Family Films
88,32400000.0,32000000.0,86.0,6.073,438.0,1996-02-01,5.7052,False,unknown,en,Paramount Pictures
89,33000000.0,8175346.0,89.0,6.234,768.0,1995-11-22,3.3574,False,unknown,en,Paramount Pictures
90,,,91.0,6.7,15.0,1995-09-14,1.6693,False,unknown,en,Miramax|Addis-Wechsler Productions
92,47000000.0,12379402.0,108.0,5.8,330.0,1996-02-23,9.255,False,unknown,en,NFH Films|TriStar Pictures
93,14000000.0,19800000.0,102.0,5.084,614.0,1995-10-26,1.9599,False,unknown,en,Paramount Pictures|Eddie Murphy Productions
94,16000000.0,27000000.0,112.0,6.655,384.0,1996-02-09,9.2274,False,unknown,en,Miramax|Woods Entertainment
95,50000000.0,150300000.0,108.0,6.06,1600.0,1996-02-09,6.2476,False,unknown,en,The Mark Gordon Company|WCG Entertainment Productions
96,,,99.0,7.085,42.0,1995-09-29,2.2595,False,unknown,en,Midwinter Films|Castle Rock Entertainment
97,2600000.0,15300000.0,98.0,8.1,4342.0,1995-05-31,7.5639,False,unknown,fr,Kasso Productions|La Sept Cinéma|Les Productions Lazennec|Canal+|StudioCanal
98,,,105.0,5.321,56.0,1994-12-06,1.6326,False,unknown,en,Film4 Productions|Kuzui Enterprises|Impact Pictures
99,,,106.0,6.6,14.0,1995-12-27,3.3017,False,http://www.nickbroomfield.com/Heidi-Fleiss-Hollywood-Madam,en,BBC|CBC|Cinemax Reel Life|InPictures|Lafayette Film|WDR
100,40000000.0,33440204.0,111.0,5.9,302.0,1996-02-16,1.9206,False,unknown,en,Castle Rock Entertainment
101,7000000.0,1040879.0,91.0,6.7,1131.0,1996-02-21,3.1415,False,unknown,en,Gracie Films|Columbia Pictures|Boyle-Taylor Productions
102,,,96.0,3.968,62.0,1996-02-16,2.8055,False,unknown,en,Touchstone Pictures|Mandeville Films|Marty Katz Productions
103,18000000.0,,116.0,5.598,112.0,1996-02-23,3.7743,False,unknown,en,The De Laurentiis Company|Spelling Films
104,12000000.0,41422354.0,92.0,6.676,3152.0,1996-02-16,4.6155,False,unknown,en,Universal Pictures|Brillstein-Grey Entertainment|Robert Simonds Productions
105,24000000.0,182000000.0,135.0,7.708,2276.0,1995-06-02,5.6162,False,unknown,en,Malpaso Productions|Warner Bros. Pictures|Amblin Entertainment
106,,,104.0,6.157,35.0,1994-11-07,0.6706,False,unknown,de,Cobra Film|ZDF
107,31000000.0,34300000.0,99.0,6.672,436.0,1996-02-16,3.108,False,unknown,en,Walt Disney Pictures|Jim Henson Productions
108,,,95.0,7.5,8.0,1995-12-08,1.3352,False,unknown,en,unknown
109,,,110.0,3.0,5.0,1995-05-20,0.3953,False,unknown,en,unknown
110,72000000.0,213216216.0,178.0,7.941,10700.0,1995-05-24,10.8275,False,unknown,en,The Ladd Company|Icon Productions
111,1900000.0,28579636.0,114.0,8.132,12980.0,1976-02-09,10.0497,False,unknown,en,Italo/Judeo Productions|Bill/Phillips|Columbia Pictures
112,7500000.0,76028558.0,106.0,6.808,1104.0,1995-01-21,3.8155,False,unknown,cn,Orange Sky Golden Harvest
113,35000000.0,8797839.0,108.0,5.907,204.0,1996-02-23,1.8707,False,unknown,en,Hollywood Pictures|Caravan Pictures
114,,,114.0,6.346,13.0,1995-09-13,1.5098,False,unknown,en,imX Communications|Téléfilm Canada|Skyline Films|Malofilm|SODEC|Glace Bay Pictures|Nova Scotia Film Development Corporation|Ranfilm|ONF | NFB|British Screen Productions|Ciné Télé Action
115,13365000.0,,106.0,6.799,169.0,1995-12-06,1.6541,False,unknown,fr,Téléma Productions|StudioCanal|Les Productions du Champ Poirier|France 3 Cinéma|France 2 Cinéma
116,,,117.0,7.7,23.0,1995-06-08,1.8252,False,https://www.sonypictures.com/movies/annefrankremembered,en,unknown
117,,,99.0,6.587,52.0,1995-01-20,0.4082,False,unknown,en,Eurimages|British Screen Productions|Kinowelt|Mass Productions|Pandora Cinema|Haut et Court
118,5000000.0,2420162.0,92.0,5.322,59.0,1996-03-08,4.7023,False,unknown,en,TriStar Pictures|Motion Picture Corporation of America
119,25000000.0,6278139.0,113.0,4.3,22.0,1995-09-29,0.4312,False,unknown,en,Savoy Pictures|Chicago Pacific Entertainment
120,,,100.0,5.1,64.0,1996-03-22,1.1358,False,unknown,en,TriStar Pictures
121,,204540.0,93.0,7.19,42.0,1994-06-03,5.0963,False,unknown,en,CBC|Téléfilm Canada|Ciné Télé Action
122,40000000.0,131052444.0,117.0,5.639,600.0,1992-06-30,4.9251,False,https://www.paramountmovies.com/movies/boomerang,en,Paramount Pictures|Eddie Murphy Productions|Imagine Entertainment
123,160000.0,,103.0,7.971,2050.0,1994-07-14,5.7321,False,unknown,cn,Jet Tone Production
124,,,113.0,7.1,187.0,1995-09-21,1.168,False,unknown,it,Cecchi Gori Group Tiger Cinematografica
125,7000000.0,14702438.0,93.0,6.2,261.0,1996-03-22,2.8333,False,https://www.miramax.com/movie/flirting-with-disaster/,en,Miramax|Dean Silvers Productions
126,17000000.0,,95.0,4.467,410.0,1994-10-26,2.1879,False,unknown,de,Dieter Geissler Filmproduktion|Cinevox Filmproduktion|Studio Babelsberg
127,,,124.0,6.409,23.0,1994-09-30,1.5386,False,unknown,ar,Canal+ Horizons|Mat Films|Cinétéléfilms|Ministère Tunisien de la Culture|Ministère de la culture|CNC|Film4 Productions|Hubert Bals Fund
128,,,87.0,7.1,7.0,1995-09-08,0.1398,False,unknown,en,unknown
129,,,95.0,6.6,13.0,1996-02-09,3.761,False,unknown,en,Fine Line Features
130,,,99.0,5.463,27.0,1996-01-26,1.8527,False,unknown,en,Tree Farm Productions
131,,,101.0,5.036,14.0,1995-11-22,4.7383,False,unknown,en,Fís Éireann/Screen Ireland|Fine Line Features|Canal+|Film4 Productions
132,50000000.0,9851610.0,95.0,5.472,284.0,1995-10-13,2.5674,False,unknown,en,Paramount Pictures|Robert Evans Productions|Adelson-Baumgarten Productions
133,,,102.0,4.8,6.0,1995-08-16,6.8542,False,unknown,es,Cigua Films|D'Pelicula|Miravista Films
134,,,87.0,7.4,5.0,1995-07-14,0.2348,False,http://www.othercinema.com/archive/filmography/sonout.html,en,unknown
135,,37553585.0,92.0,6.4,494.0,1996-03-01,5.8661,False,unknown,en,20th Century Fox
136,,,97.0,5.8,6.0,1995-09-08,0.1773,False,unknown,en,Couch Potatoe Productions
137,,209935.0,86.0,2.786,7.0,1995-09-15,1.0598,False,unknown,en,unknown
138,,,92.0,6.02,25.0,1995-08-23,0.6118,False,unknown,en,Channel Four Films|Scala Productions|Screen Partners Ltd.|Iberoamericana Films Producción|Academy Pictures|Three Rivers Production
139,,,122.0,0.0,0.0,1995-08-01,0.2175,False,unknown,hi,unknown
140,60000000.0,100688562.0,119.0,6.267,231.0,1996-03-01,1.7651,False,unknown,en,Cinergi Pictures|Avnet/Kerner Productions
141,31000000.0,185300000.0,119.0,7.038,1255.0,1996-03-08,2.6958,False,unknown,en,United Artists
142,,,,,,,,,unknown,unknown,unknown
143,,,125.0,4.1,8.0,1995-10-12,3.0818,False,unknown,hr,IPI International|Wayne Films|Marjan Film|Jadran Film
144,25000.0,19326506.0,98.0,5.995,95.0,1995-08-11,1.0699,False,unknown,en,Videography|Marlboro Road Gang Productions|Good Machine
145,19000000.0,141407024.0,119.0,6.824,6707.0,1995-04-07,8.6909,False,https://www.sonypictures.com/movies/badboys,en,Columbia Pictures|Don Simpson/Jerry Bruckheimer Films
146,,7506759.0,84.0,5.6,93.0,1995-08-25,6.8928,False,unknown,en,Warner Bros. Pictures|Lee Rich Productions
147,2000000.0,2381087.0,102.0,7.4,2114.0,1995-04-21,3.0348,False,unknown,en,Island Pictures
148,4000000.0,851545.0,113.0,6.541,68.0,1995-05-11,2.014,False,unknown,en,Fine Line Features|British Screen Productions|Portman Productions|BBC
149,,,105.0,6.192,99.0,1994-08-05,1.0718,False,unknown,en,UGC|American Playhouse|La Sept Cinéma|Channel Four Films|Zenith Entertainment|True Fiction Pictures
150,52000000.0,355237933.0,140.0,7.449,5673.0,1995-06-30,3.9722,False,unknown,en,Imagine Entertainment|Universal Pictures
151,28000000.0,31600000.0,139.0,6.703,681.0,1995-04-13,1.8062,False,unknown,en,United Artists|Talisman Films|Metro-Goldwyn-Mayer
152,,302393.0,82.0,6.457,302.0,1995-10-06,7.2163,False,unknown,en,Fast Films
153,100000000.0,336529144.0,121.0,5.448,5412.0,1995-06-16,4.9661,False,unknown,en,Warner Bros. Pictures|Tim Burton Productions|Polygram Pictures
154,,,101.0,7.32,973.0,1967-05-24,3.8942,False,unknown,fr,Paris Films Productions|Five Films|Robert et Raymond Hakim
155,23000000.0,14700000.0,100.0,6.5,82.0,1995-08-25,1.3884,False,unknown,en,Castle Rock Entertainment|Pleskow/Spikings Productions
156,2000000.0,1300000.0,83.0,6.511,176.0,1995-09-15,3.5374,False,http://miramax.com/movie/blue-in-the-face/,en,InterAL|Miramax
157,11000000.0,178104.0,91.0,5.732,235.0,1995-06-08,1.7826,False,https://michaelmoore.com/movies/canadian-bacon/,en,PolyGram Filmed Entertainment|Propaganda Films|David Brown Productions|Maverick Picture Company|Dog Eat Dog Films|Gramercy Pictures
158,50000000.0,287928194.0,100.0,6.332,4790.0,1995-05-26,5.7831,False,unknown,en,The Harvey Entertainment Company|Universal Pictures|Amblin Entertainment
159,25000000.0,13100000.0,128.0,6.7,339.0,1995-09-15,2.7666,False,unknown,en,40 Acres and a Mule Filmworks|Universal Pictures
160,50000000.0,152022101.0,109.0,5.579,939.0,1995-06-09,2.0124,False,unknown,en,Paramount Pictures|The Kennedy/Marshall Company
161,53000000.0,157387195.0,116.0,7.18,1898.0,1995-05-12,2.6493,False,unknown,en,Hollywood Pictures|Don Simpson/Jerry Bruckheimer Films
162,,3041083.0,120.0,7.507,269.0,1994-09-10,1.8922,False,unknown,en,Superior Pictures|Sony Pictures Classics
163,7000000.0,25405445.0,104.0,6.923,3017.0,1995-08-25,5.9611,False,unknown,en,Columbia Pictures|Los Hooligans Productions
164,27000000.0,16140822.0,102.0,6.456,436.0,1995-09-29,3.6689,False,unknown,en,Mundy Lane Entertainment|TriStar Pictures|Clinica Estetico
165,90000000.0,366101666.0,128.0,7.274,6417.0,1995-05-19,5.604,False,https://www.20thcenturystudios.com/movies/die-hard-with-a-vengeance,en,20th Century Fox|Cinergi Pictures|Andrew G. Vajna Productions
166,800000.0,284785.0,83.0,6.5,295.0,1995-10-20,2.6313,False,unknown,en,Blurco|The Teen Angst Movie Company|Desperate Pictures|Why Not Productions|UGC
167,,,116.0,5.545,11.0,1995-10-12,1.0946,False,unknown,en,Touchstone Pictures|Merchant Ivory Productions
168,55000000.0,127600435.0,134.0,6.105,1288.0,1995-07-07,8.4201,False,unknown,en,First Knight Productions|Columbia Pictures|Zucker Brothers Productions
169,31000000.0,30077111.0,95.0,5.927,604.0,1995-07-19,2.6327,False,unknown,en,Alcor Films|Donner/Shuler-Donner Productions|Regency Enterprises|Warner Bros. Pictures|Canal+|Warner Bros. Family Entertainment
170,20000000.0,7563728.0,107.0,6.384,1392.0,1995-09-14,2.8854,False,https://www.mgm.com/#/our-titles/800/Hackers,en,Suftley|United Artists|Metro-Goldwyn-Mayer
171,,3487767.0,92.0,6.201,67.0,1995-08-18,4.3689,False,unknown,en,The Booking Office|Workin' Man Films
172,25000000.0,19075720.0,97.0,5.763,1453.0,1995-05-26,7.0813,False,https://www.sonypictures.com/movies/johnnymnemonic,en,TriStar Pictures|Don Carmody Productions|Alliance Films
173,90000000.0,113493481.0,96.0,5.847,2614.0,1995-06-30,2.9264,False,unknown,en,Cinergi Pictures|Hollywood Pictures
174,,17014653.0,88.0,4.3,126.0,1995-04-12,2.2684,False,unknown,en,TriStar Pictures|Triumph Films
175,1500000.0,20412216.0,91.0,6.896,1220.0,1995-07-28,4.7918,False,unknown,en,The Guys Upstairs|Independent Pictures
176,500000.0,1148752.0,90.0,7.2,305.0,1995-07-21,2.638,False,unknown,en,JDI productions|Lemon Sky Productions
177,,13294594.0,109.0,5.946,362.0,1995-08-25,3.2819,False,unknown,en,United Artists|Seraphim Films|Metro-Goldwyn-Mayer
178,,,100.0,5.7,45.0,1994-07-22,6.0321,False,unknown,en,Atlantis Films|First Choice Films|The Ontario Film Development Corporation|Société Générale des Industries Culturelles du Québec (SOGIC)|Super Écran|Téléfilm Canada|Max Films|Sony Pictures Classics
179,,15453274.0,95.0,5.168,119.0,1995-05-26,3.9284,False,unknown,en,Touchstone Pictures
180,6000000.0,2122561.0,94.0,6.8,1315.0,1995-10-20,5.4754,False,unknown,en,Gramercy Pictures|Alphaville Films|View Askew Productions
181,15000000.0,66433194.0,95.0,5.857,738.0,1995-06-30,3.8478,False,http://www.powerrangers.com/,en,Saban Entertainment|20th Century Fox|Toei Company|Fox Family Films
182,,2484226.0,100.0,5.5,79.0,1995-09-29,2.7237,False,unknown,en,Working Title Films|PolyGram Filmed Entertainment
183,,,95.0,6.4,149.0,1995-09-15,6.0261,False,unknown,en,Avrora Media|Cobblestone Pictures|Patmos Film|Comet Film
184,,,93.0,5.5,54.0,1995-09-01,1.9014,False,unknown,en,Kino Link Company
185,22000000.0,110627965.0,114.0,6.034,1448.0,1995-07-28,4.6023,False,unknown,en,Columbia Pictures
186,35000000.0,138500000.0,103.0,5.708,681.0,1995-07-12,2.3528,False,unknown,en,1492 Pictures|20th Century Fox
187,150000.0,472370.0,94.0,6.375,85.0,1995-06-09,2.1417,False,unknown,en,Party Productions
188,8000000.0,16115878.0,98.0,6.497,536.0,1995-08-05,9.2633,False,unknown,en,Overseas FilmGroup|Dimension Films|NEO Motion Pictures|First Look International
189,,,91.0,6.4,7.0,1995-11-17,1.3452,False,unknown,en,American Playhouse|Playhouse International Pictures|The Samuel Goldwyn Company
190,1000000.0,512558.0,119.0,6.949,325.0,1995-06-23,2.2615,False,unknown,en,American Playhouse|Chemical Films|Good Machine|Kardana Productions|Arnold Semler Productions|Channel Four Films
191,50000000.0,10382407.0,135.0,6.111,500.0,1995-10-13,5.2302,False,unknown,en,Cinergi Pictures|Lightmotive|Allied Stars|Moving Pictures|Hollywood Pictures
192,,2702578.0,93.0,6.4,10.0,1995-08-25,3.9375,False,unknown,en,Rysher Entertainment|Savoy Pictures|Tollin/Robbins Productions
193,45000000.0,20367472.0,131.0,5.578,1320.0,1995-09-22,5.4249,False,unknown,en,Chargeurs|Charles Evans Productions|Carolco Pictures|Joe Eszterhas Productions|Ben Myron Productions
194,7000000.0,8349430.0,112.0,7.2,510.0,1995-06-09,0.868,False,unknown,en,Miramax|NDF International|Eurospace
195,30000000.0,77300000.0,106.0,5.6,247.0,1995-08-04,3.3405,False,unknown,en,Hawn / Sylbert Movie Company|Spring Creek Pictures|Warner Bros. Pictures
196,35000000.0,113400000.0,108.0,5.972,1758.0,1995-07-07,4.0734,False,unknown,en,Metro-Goldwyn-Mayer|FGM Entertainment
